title,url,published,document_type,organisations,evaluation_type,method_signal
HS1: peer review of first interim evaluation,https://www.gov.uk/government/publications/hs1-peer-review-of-first-interim-evaluation,2015-10-15T10:00:23Z,research,Department for Transport,impact,unstated
HS1: first interim evaluation,https://www.gov.uk/government/publications/hs1-first-interim-evaluation,2015-10-15T09:59:57Z,research,Department for Transport,impact,unstated
Electricity Market Reform: Evaluation,https://www.gov.uk/government/publications/electricity-market-reform-evaluation,2015-10-15T09:32:00Z,research,Department of Energy & Climate Change,mixed,unstated
Forecast evaluation report: October 2015,https://www.gov.uk/government/publications/forecast-evaluation-report-october-2015,2015-10-13T10:00:01Z,independent_report,Office for Budget Responsibility,economic,unstated
Evaluation of existing migration forecasting methods and models,https://www.gov.uk/government/publications/evaluation-of-existing-migration-forecasting-methods-and-models,2015-10-13T09:08:27Z,independent_report,Migration Advisory Committee,feasibility,unstated
Alternative place of safety: West Sussex pilot evaluation 2015,https://www.gov.uk/government/publications/alternative-place-of-safety-west-sussex-pilot-evaluation-2015,2015-10-09T23:15:00Z,research,Home Office,impact,unstated
Evaluation of the Sustainable Employment and Economic Development (SEED) programme in South Central Somalia,https://www.gov.uk/government/publications/evaluation-of-the-sustainable-employment-and-economic-development-seed-programme-in-south-central-somalia,2015-10-07T10:50:54Z,independent_report,Department for International Development,impact,unstated
Investment and Contract Readiness Fund evaluation: in pursuit of readiness,https://www.gov.uk/government/publications/investment-and-contract-readiness-fund-evaluation-in-pursuit-of-readiness,2015-10-06T23:00:00Z,research,Cabinet Office,economic,unstated
Enterprise pilots in prisons: evaluation,https://www.gov.uk/government/publications/enterprise-pilots-in-prisons-evaluation,2015-10-01T11:00:01Z,research,"Department for Business, Innovation & Skills",impact,unstated
'Group Work’ psychological wellbeing and work feasibility pilot evaluation,https://www.gov.uk/government/publications/group-work-psychological-wellbeing-and-work-feasibility-pilot-evaluation,2015-09-22T08:30:10Z,research,Department for Work and Pensions; Department of Health and Social Care,impact,unstated
'Telephone Support’ psychological wellbeing and work feasibility pilot evaluation,https://www.gov.uk/government/publications/telephone-support-psychological-wellbeing-and-work-feasibility-pilot-evaluation,2015-09-22T08:30:00Z,research,Department for Work and Pensions; Department of Health and Social Care,impact,unstated
Evaluation of Class 2 National Insurance Contributions reform communications amongst key target groups,https://www.gov.uk/government/publications/evaluation-of-class-2-national-insurance-contributions-reform-communications-amongst-key-target-groups,2015-09-16T08:30:27Z,research,HM Revenue & Customs,impact,survey_monitoring
Small Business Digital Capability Programme Challenge Fund: evaluation,https://www.gov.uk/government/publications/small-business-digital-capability-programme-challenge-fund-evaluation,2015-09-09T09:00:37Z,research,"Department for Business, Innovation & Skills",economic,unstated
Research and evaluation priorities 2015/2016,https://www.gov.uk/government/publications/research-and-evaluation-priorities-20152016,2015-09-09T09:00:00Z,research,Intellectual Property Office,unclear,unstated
Low carbon pioneer cities Heat Networks Project: a process evaluation,https://www.gov.uk/government/publications/low-carbon-pioneer-cities-heat-networks-project-a-process-evaluation,2015-09-03T08:39:33Z,research,Department of Energy & Climate Change,process,unstated
A Methodology for Evaluating the In-Situ Performance of Solid Fuel Biomass Boilers,https://www.gov.uk/government/publications/a-methodology-for-evaluating-the-in-situ-performance-of-solid-fuel-biomass-boilers,2015-09-01T12:43:00Z,research,Department of Energy & Climate Change,feasibility,unstated
Modern Slavery marketing campaign evaluation report,https://www.gov.uk/government/publications/modern-slavery-marketing-campaign-evaluation-report,2015-08-11T08:00:03Z,research,Home Office,impact,survey_monitoring
Longer semi-trailer trial evaluation: annual report 2014,https://www.gov.uk/government/publications/longer-semi-trailer-trial-evaluation-annual-report-2014,2015-07-30T11:03:00Z,research,Department for Transport,impact,unstated
Local justice reinvestment pilot: process evaluation report,https://www.gov.uk/government/publications/local-justice-reinvestment-pilot-process-evaluation-report,2015-07-30T08:30:53Z,research,Ministry of Justice,process,unstated
HMP Doncaster Payment by Results pilot: process evaluation report,https://www.gov.uk/government/publications/hmp-doncaster-payment-by-results-pilot-process-evaluation-report,2015-07-30T08:30:47Z,research,Ministry of Justice,process,unstated
Outcome evaluation of IDAP and CDVP,https://www.gov.uk/government/publications/outcome-evaluation-of-idap-and-cdvp,2015-07-30T08:30:00Z,research,Ministry of Justice; National Offender Management Service,impact,unstated
Evaluation of the CRC energy efficiency scheme,https://www.gov.uk/government/publications/evaluation-of-the-crc-energy-efficiency-scheme,2015-07-20T10:09:40Z,research,Department of Energy & Climate Change,economic,unstated
Evaluation of the Needs Enhanced Support service national roll-out,https://www.gov.uk/government/publications/evaluation-of-the-needs-enhanced-support-service-national-roll-out,2015-07-15T08:30:13Z,research,HM Revenue & Customs,process,unstated
Children’s centres in England evaluation: survey of leaders,https://www.gov.uk/government/publications/childrens-centres-in-england-evaluation-survey-of-leaders,2015-06-25T09:05:30Z,research,Department for Education,unclear,survey_monitoring
Children’s centres in England evaluation: survey of families,https://www.gov.uk/government/publications/childrens-centres-in-england-evaluation-survey-of-families,2015-06-25T09:05:00Z,research,Department for Education,unclear,survey_monitoring
Impact of National College grants evaluation,https://www.gov.uk/government/publications/impact-of-national-college-grants-evaluation,2015-06-25T09:01:29Z,research,National College for Teaching and Leadership,impact,unstated
Phonics screening check evaluation: final report,https://www.gov.uk/government/publications/phonics-screening-check-evaluation-final-report,2015-06-25T09:01:11Z,research,Department for Education,impact,unstated
Fit for Work Service pilots 2010 to 2013: final evaluation report,https://www.gov.uk/government/publications/fit-for-work-service-pilots-2010-to-2013-final-evaluation-report,2015-06-25T08:30:00Z,research,Department for Work and Pensions,impact,unstated
Non-educational barriers to the elite professions evaluation,https://www.gov.uk/government/publications/non-educational-barriers-to-the-elite-professions-evaluation,2015-06-14T21:00:00Z,research,Social Mobility and Child Poverty Commission; Social Mobility Commission,feasibility,unstated
The UK's National Broadband Scheme - an independent evaluation,https://www.gov.uk/government/publications/the-uks-national-broadband-scheme-an-independent-evaluation,2015-05-19T16:00:00Z,independent_report,"Department for Science, Innovation and Technology; Department for Digital, Culture, Media & Sport",economic,unstated
Beneficiary Feedback in Evaluation,https://www.gov.uk/government/publications/beneficiary-feedback-in-evaluation,2015-05-15T08:31:00Z,independent_report,Department for International Development,evidence_synthesis,unstated
Blood-borne virus opt-out testing in prisons: evaluation of pathfinder programme,https://www.gov.uk/government/publications/blood-borne-virus-opt-out-testing-in-prisons-evaluation-of-pathfinder-programme,2015-04-03T23:00:00Z,research,Public Health England,process,unstated
Impact evaluation of investment funds: baseline quantitative findings,https://www.gov.uk/government/publications/impact-evaluation-of-investment-funds-baseline-quantitative-findings,2015-03-27T08:57:00Z,research,UK Commission for Employment and Skills,impact,quasi_experimental
Impact evaluation of investment funds: baseline qualitative findings,https://www.gov.uk/government/publications/impact-evaluation-of-investment-funds-baseline-qualitative-findings,2015-03-27T08:56:00Z,research,UK Commission for Employment and Skills,impact,qualitative
Commercial use of public information: evaluation of OFT market study,https://www.gov.uk/government/publications/commercial-use-of-public-information-evaluation-of-oft-market-study,2015-03-26T13:12:00Z,research,Competition and Markets Authority,economic,unstated
Independent driving in the driving test: evaluation,https://www.gov.uk/government/publications/independent-driving-in-the-driving-test-evaluation,2015-03-25T14:30:16Z,research,Driver and Vehicle Standards Agency,process,unstated
University enterprise zones pilot: evaluation plan,https://www.gov.uk/government/publications/university-enterprise-zones-pilot-evaluation,2015-03-25T14:00:00Z,research,"Department for Business, Innovation & Skills",feasibility,unstated
Longer semi-trailer trial evaluation: interim report 2014,https://www.gov.uk/government/publications/longer-semi-trailer-trial-evaluation-interim-report-2014,2015-03-24T12:21:00Z,research,Department for Transport,impact,unstated
Qualitative evaluation of the London homelessness social impact bond: second interim report,https://www.gov.uk/government/publications/qualitative-evaluation-of-the-london-homelessness-social-impact-bond-second-interim-report,2015-03-20T09:30:18Z,research,"Ministry of Housing, Communities & Local Government (2018 to 2021)",impact,qualitative
